index,rank,added_at,title,artist,isrc,velocity,cm_id,time_on_chart,release_dates,cm_artist_id,before,after,listener_diff,percent increase,IG_f15,IG_f21,TW_f15,TW_f21,Tiktok_f15,Tiktok_f21,Tiktok Status
58,62,2021-01-21,Só Você,Léo Santana,BRUM72002593,,31157991.0,85,"['2020-08-28T00:00:00.000Z', '2020-09-18T00:00:00.000Z', '2020-09-18T00:00:00.000Z', '2020-09-18T00:00:00.000Z', '2020-09-25T00:00:00.000Z', '2020-09-29T00:00:00.000Z', '2020-10-30T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2021-01-15T00:00:00.000Z', '2021-01-15T00:00:00.000Z', '2021-01-22T00:00:00.000Z', '2021-01-22T00:00:00.000Z', '2021-01-22T00:00:00.000Z']",436314,4850060.0,4815335.0,-34725.0,-0.7159705240759908,15284469.0,15299601.0,2279.0,2285.0,1300000.0,1300000.0,Has Tiktok
59,63,2021-01-21,Stranger,CHUNNYT,USA2P1660778,,14806992.0,162,['2016-07-01T00:00:00.000Z'],429307,23.0,23.0,0.0,0.0,,,,,,,No Tiktok
60,64,2021-01-21,Nature's Beauty,Romero Lubambo,US4A70600575,,21680992.0,6,['2006-01-01T00:00:00.000Z'],187376,13199.0,13472.0,273.0,2.0683385104932195,,,295.0,295.0,,,No Tiktok
61,65,2021-01-21,Lullabies,Yuna,US4HB1200001,,14624824.0,138,"['2012-04-24T00:00:00.000Z', '2014-05-06T00:00:00.000Z', '2015-09-11T00:00:00.000Z', '2015-09-11T00:00:00.000Z', '2020-06-26T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-08-26T00:00:00.000Z', '2020-10-23T00:00:00.000Z', '2020-11-11T00:00:00.000Z', '2021-01-08T00:00:00.000Z']",3576,1825722.0,1835832.0,10110.0,0.5537535287409584,889300.0,889064.0,2480942.0,2481631.0,94500.0,98900.0,Has Tiktok
62,66,2021-01-21,Body,Megan Thee Stallion,QMCE32000683,,32021398.0,40,['2020-11-20T00:00:00.000Z'],788785,32370893.0,32343746.0,-27147.0,-0.08386237599314916,19170320.0,19355690.0,5503463.0,5597906.0,6100000.0,6200000.0,Has Tiktok
63,67,2021-01-21,Teach Me How To Dougie,Classics Reborn,USQY51330295,-1.42857142857143,15647122.0,62,['2013-02-08T00:00:00.000Z'],273773,4481.0,4498.0,17.0,0.3793796027672395,,,,,,,No Tiktok
64,68,2021-01-21,DÁKITI,Jhaycortez,QZGWX2053010,-0.42857142857142894,31974516.0,60,['2020-11-07T00:00:00.000Z'],726832,39173.0,40725.0,1552.0,3.9619125418017513,,,,,,,No Tiktok
65,69,2021-01-21, Fast,sueco the child,USAT21903003,,22958840.0,160,"['2019-05-10T00:00:00.000Z', '2019-05-31T00:00:00.000Z', '2019-06-25T00:00:00.000Z', '2019-09-20T00:00:00.000Z', '2020-06-26T00:00:00.000Z', '2020-08-06T00:00:00.000Z', '2020-11-07T00:00:00.000Z', '2020-11-07T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-18T00:00:00.000Z']",1451395,2266375.0,2253636.0,-12739.0,-0.5620870332579561,220907.0,220123.0,6760.0,6775.0,1700000.0,1700000.0,Has Tiktok
66,70,2021-01-21,Stranger,CHUNNYT,USA2P1660778,,14806992.0,190,['2016-07-01T00:00:00.000Z'],429307,23.0,23.0,0.0,0.0,,,,,,,No Tiktok
67,71,2021-01-21,Plastic,Unghetto Mathieu,USSM12003492,-2.85714285714286,29594536.0,90,['2020-05-29T00:00:00.000Z'],521606,650358.0,858800.0,208442.0,32.05034765467635,296686.0,298477.0,9039.0,9081.0,,,No Tiktok
68,72,2021-01-21,Summer Days,Martin Garrix,NLM5S1900528,,22886113.0,207,"['2019-04-25T00:00:00.000Z', '2019-07-10T00:00:00.000Z', '2019-07-05T00:00:00.000Z', '2019-10-23T00:00:00.000Z', '2020-06-19T00:00:00.000Z']",4516,21393487.0,21637834.0,244347.0,1.1421560215966664,16326247.0,16305984.0,8677437.0,8674927.0,398000.0,399600.0,Has Tiktok
69,73,2021-01-21,Ягода Малинка,ХАБИБКА,RUA1D2064344,-4.0,32001549.0,64,['2020-11-17T00:00:00.000Z'],1032415,75952.0,82431.0,6479.0,8.530387613229408,,,,,,,No Tiktok
70,74,2021-01-21,Talk N Bout (Talm Bout),Loui,USLD91723597,,28260938.0,38,['2020-01-03T00:00:00.000Z'],3443703,259120.0,259120.0,0.0,0.0,180351.0,180416.0,797.0,800.0,,,No Tiktok
71,77,2021-01-21,BEBÉ,Camilo,USSD12000562,-2.14285714285714,32076413.0,45,['2020-11-25T00:00:00.000Z'],1355995,25295699.0,25262751.0,-32948.0,-0.13025139174845493,19137228.0,19207568.0,1373590.0,1382841.0,19500000.0,20100000.0,Has Tiktok
72,79,2021-01-21,Mi Mujer Me Gobierna - En Vivo,La Banda Gorda,QM6N21824965,,23441160.0,85,['2018-10-26T00:00:00.000Z'],212207,341069.0,334016.0,-7053.0,-2.0679100123435434,,,,,,,No Tiktok
